MaskDeg,System,DOP,MeanDOP,P50DOP,P95DOP,MaxDOP,MeanNSats,ValidEpochs
0,GPS,GDOP,1.55054640779389,1.51931926945922,2.0643375860595,2.98700766675831,11.4347222222222,1440
0,GPS,PDOP,1.40145860824714,1.37901873087843,1.82216957013651,2.51313615734895,11.4347222222222,1440
0,GPS,HDOP,0.792567346673749,0.77148984866953,0.988104324405089,1.41979074583865,11.4347222222222,1440
0,GPS,VDOP,1.15301430497246,1.1285673254092,1.53736043140389,2.07900658280006,11.4347222222222,1440
0,GPS,TDOP,0.66169553557677,0.637134252401289,0.972879791168255,1.61442294826922,11.4347222222222,1440
0,GLONASS,GDOP,25.6890871892361,6.08187370418347,104.08344423537,551.696583505157,4.75694444444444,930
0,GLONASS,PDOP,23.9689708969062,5.79742080142101,88.8520844722619,542.583714295211,4.75694444444444,930
0,GLONASS,HDOP,15.6043063924629,2.90874847674305,31.8573452352111,423.507867310441,4.75694444444444,930
0,GLONASS,VDOP,17.163192093956,4.26664996890802,83.2135067391783,342.756200258267,4.75694444444444,930
0,GLONASS,TDOP,8.32500944362603,1.68593814430119,54.2095051520616,103.162726217142,4.75694444444444,930
0,Galileo,GDOP,1.72147443481496,1.67419801802534,2.13744498340291,2.89959948834524,9.60555555555556,1440
0,Galileo,PDOP,1.55219382145402,1.51084295534688,1.90554872138319,2.44541896985358,9.60555555555556,1440
0,Galileo,HDOP,0.900968505126025,0.879621147152985,1.10135257267676,1.38450078273668,9.60555555555556,1440
0,Galileo,VDOP,1.26044500057419,1.22488529259105,1.62979959574811,2.02985170359093,9.60555555555556,1440
0,Galileo,TDOP,0.742948122310004,0.708471374018022,0.99582396540667,1.55807678074356,9.60555555555556,1440
0,BeiDou,GDOP,2.69229605350845,2.36757758520761,4.22913329856728,51.4120554604128,8.08611111111111,1440
0,BeiDou,PDOP,2.43464347264473,2.1617271398009,3.85289138128929,42.8726897217747,8.08611111111111,1440
0,BeiDou,HDOP,1.11532944994534,1.01510296598124,1.56762336664315,8.38379680364316,8.08611111111111,1440
0,BeiDou,VDOP,2.1356890724999,1.84374115422231,3.51230250451377,42.0449696769398,8.08611111111111,1440
0,BeiDou,TDOP,1.13846206475519,0.974041108256129,1.7446138714777,28.3748466548279,8.08611111111111,1440
0,Combined,GDOP,0.862189764082317,0.845854033216337,1.03282667646739,1.16500245105301,33.8833333333333,1440
0,Combined,PDOP,0.784974142041338,0.771095491471932,0.933197795197041,1.02532290453107,33.8833333333333,1440
0,Combined,HDOP,0.431022640794482,0.430830097469778,0.475868642842724,0.547075898433738,33.8833333333333,1440
0,Combined,VDOP,0.655286915163291,0.640916202791599,0.804087248403122,0.875883009142788,33.8833333333333,1440
0,Combined,TDOP,0.35634301667427,0.346129538018729,0.441079806040712,0.554201175596115,33.8833333333333,1440
10,GPS,GDOP,2.07973823326962,2.02379368885322,2.59043324258305,4.77713242514975,9.13263888888889,1440
10,GPS,PDOP,1.83213476373155,1.78595427560047,2.27263247768479,4.00652972036895,9.13263888888889,1440
10,GPS,HDOP,0.992423180859653,0.948207647065152,1.27431800177752,2.17129616746401,9.13263888888889,1440
10,GPS,VDOP,1.53389931825978,1.49814796573336,1.98324978256196,3.36715805292175,9.13263888888889,1440
10,GPS,TDOP,0.982425517541356,0.955240620500354,1.29012902760032,2.60167519248991,9.13263888888889,1440
10,GLONASS,GDOP,28.4979544793013,7.38515504575244,104.419624757025,551.696583505157,4.17152777777778,881
10,GLONASS,PDOP,26.4845802259047,6.68006105366961,89.2321283143864,542.583714295211,4.17152777777778,881
10,GLONASS,HDOP,17.1452093834984,3.20791188467555,31.8383351373422,423.507867310441,4.17152777777778,881
10,GLONASS,VDOP,19.0445667531159,5.80334603144959,83.6429627551762,342.756200258267,4.17152777777778,881
10,GLONASS,TDOP,9.50667740426328,2.96492802194332,54.2317618078294,103.162726217142,4.17152777777778,881
10,Galileo,GDOP,2.3350738890439,2.24532957530364,2.99593316961766,4.03264752995066,7.91875,1440
10,Galileo,PDOP,2.04200784516356,1.99591085408392,2.59169969676152,3.39594456522528,7.91875,1440
10,Galileo,HDOP,1.12628954129198,1.08893372987071,1.50274262594907,1.88685150971698,7.91875,1440
10,Galileo,VDOP,1.70000733299182,1.67854463893305,2.11969306319602,2.82351392246645,7.91875,1440
10,Galileo,TDOP,1.12780363775367,1.03052239154161,1.55554459436874,2.18609055778946,7.91875,1440
10,BeiDou,GDOP,3.75391776579787,3.06198596466122,6.48990676268624,59.2752288587322,6.72013888888889,1439
10,BeiDou,PDOP,3.34570201778889,2.7385672827154,5.97193937757384,52.5838248935962,6.72013888888889,1439
10,BeiDou,HDOP,1.38687717801035,1.18656079180506,2.82157741708295,11.324057721611,6.72013888888889,1439
10,BeiDou,VDOP,2.99964244279539,2.35835263990786,4.92335339271762,51.350018083327,6.72013888888889,1439
10,BeiDou,TDOP,1.68646181422153,1.3803659671688,2.68891418594287,28.3748466548279,6.72013888888889,1439
10,Combined,GDOP,1.09081059882041,1.07381422763667,1.27081942543787,1.36788146557496,27.9430555555556,1440
10,Combined,PDOP,0.970951970984129,0.955471800817422,1.12391825463476,1.20028456579915,27.9430555555556,1440
10,Combined,HDOP,0.508085119740805,0.505291965024021,0.568863289301939,0.616269505939277,27.9430555555556,1440
10,Combined,VDOP,0.826272517630933,0.811747402101777,0.989583049872541,1.04127846704631,27.9430555555556,1440
10,Combined,TDOP,0.496791440711381,0.486840768548892,0.595616044077838,0.65606147956411,27.9430555555556,1440
20,GPS,GDOP,4.32922839771538,3.09613130898588,5.97214619332671,580.594439718526,6.93680555555556,1440
20,GPS,PDOP,3.66145939020807,2.63456570165483,4.86072101341755,491.928252052083,6.93680555555556,1440
20,GPS,HDOP,1.94169756929416,1.35492708178781,2.35698924629204,301.882505852044,6.93680555555556,1440
20,GPS,VDOP,3.08225048476242,2.25874789364529,4.3083617157626,388.407463660919,6.93680555555556,1440
20,GPS,TDOP,2.30404275574563,1.6154905260373,3.46214156465549,308.377201273134,6.93680555555556,1440
20,GLONASS,GDOP,12.7937032085917,7.57498436911336,46.7492794147925,54.0211519202393,2.79027777777778,449
20,GLONASS,PDOP,10.1646657896283,6.13546170666403,37.7284026469029,47.6830700963711,2.79027777777778,449
20,GLONASS,HDOP,5.97296289280792,2.32683215553883,17.9027200453719,33.1496605921771,2.79027777777778,449
20,GLONASS,VDOP,7.8904866929621,5.67712448990607,23.1069625266085,47.2016012191349,2.79027777777778,449
20,GLONASS,TDOP,7.68231531996075,4.44257783706387,27.6299370697571,37.1366842993242,2.79027777777778,449
20,Galileo,GDOP,34.6789511276482,3.14938896409707,29.1095497402745,20477.0844444971,6.07916666666667,1440
20,Galileo,PDOP,26.3821050596325,2.70486896313314,22.109591030343,15389.3244763922,6.07916666666667,1440
